WeatherPy_Database,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
443,Maryville,US,35.7565,-83.9705,59.14,85,100,3.44,Clouds
444,Kirkwall,GB,58.9848,-2.9587,33.85,93,75,6.91,Clouds
445,San Felipe,VE,10.3399,-68.7425,71.13,95,82,3.04,Clouds
446,Roebourne,AU,-20.7833,117.1333,87.42,58,1,18.63,Clear
447,Alto Araguaia,BR,-17.3147,-53.2153,69.17,97,100,4.99,Clouds
448,Ingham,US,42.6,-84.3833,41.92,96,100,3.44,Clouds
449,Koulikoro,ML,14.0,-7.75,73.47,11,81,16.42,Clouds
450,Kashi,CN,39.4547,75.9797,27.61,43,20,4.47,Clouds
451,Nola,IT,40.922,14.5329,62.64,89,36,1.83,Clouds
452,Pochutla,MX,15.7432,-96.4661,69.82,64,62,3.58,Clouds
453,Yabelo,ET,4.8833,38.0833,74.86,27,0,22.59,Clear
454,Nishihara,JP,26.1842,127.7558,64.06,63,75,17.27,Clouds
455,Trapani,IT,37.8333,12.6667,60.28,87,40,5.75,Clouds
456,Deputatskiy,RU,69.3,139.9,-26.97,95,92,6.33,Clouds
457,Honningsvag,NO,70.9821,25.9704,31.75,74,100,19.57,Clouds
458,Whitehorse,CA,60.7161,-135.0538,1.09,79,75,2.3,Clouds
459,Lorengau,PG,-2.0226,147.2712,81.81,81,94,7.87,Clouds
460,Puerto Asis,CO,0.5133,-76.5007,70.57,99,100,2.75,Clouds
461,Nautla,MX,20.2167,-96.7833,71.69,72,100,1.57,Clouds
462,Puerto Narino,CO,-3.7703,-70.3831,70.77,98,100,1.66,Clouds
463,Palestine,PS,31.9216,35.2033,55.33,75,0,17.76,Clear
464,Juazeiro,BR,-9.4117,-40.4986,71.78,88,0,5.75,Rain
465,Arlit,NE,18.7369,7.3853,66.4,15,9,4.36,Clear
466,Taoudenni,ML,22.6783,-3.9836,67.84,23,98,14.52,Clouds
467,Conceicao Do Araguaia,BR,-8.2578,-49.2647,71.04,97,100,1.9,Clouds
468,Mont-Dore,NC,-22.2833,166.5833,82.0,99,10,11.41,Clear
469,Hami,CN,42.8,93.45,25.29,37,41,2.71,Clouds
470,Tagab,AF,34.855,69.6492,46.58,28,0,7.45,Clear
471,Port Blair,IN,11.6667,92.75,82.44,69,40,6.91,Clouds
472,Gongzhuling,CN,43.5008,124.8198,10.47,88,3,5.7,Clear
473,Duliby,UA,49.2313,23.8153,47.77,74,98,15.9,Clouds
474,Kalininsk,RU,51.5,44.4758,33.69,100,100,11.83,Snow
475,Nouadhibou,MR,20.931,-17.0347,66.18,77,9,18.41,Clear
476,Tabuk,PH,17.4189,121.4443,73.9,91,97,5.53,Clouds
477,Sterling,US,39.0062,-77.4286,54.97,90,100,5.75,Clouds
478,Jiayuguan,CN,39.8167,98.3,21.87,50,100,1.03,Clouds
479,Ballitoville,ZA,-29.539,31.2144,74.25,60,20,8.05,Clouds
480,Kjopsvik,NO,68.097,16.3742,40.87,78,100,10.83,Rain
481,Upleta,IN,21.7333,70.2833,82.45,18,1,11.68,Clear
482,Olinda,BR,-8.0089,-34.8553,80.33,69,75,9.22,Clouds
483,Arman,RU,59.7,150.1667,-4.27,82,99,8.59,Clouds
484,Vryburg,ZA,-26.9566,24.7284,79.38,47,18,13.44,Clouds
485,Watertown,US,42.3709,-71.1828,51.24,81,75,13.8,Clouds
486,Emba,KZ,48.8264,58.1442,28.71,97,100,13.67,Snow
487,Peniche,PT,39.3558,-9.3811,57.29,83,38,22.08,Clouds
488,Tual,ID,-5.6667,132.75,82.71,77,100,29.04,Rain
489,Iberia,US,29.9502,-91.7507,62.67,94,100,0.0,Clouds
490,Roma,US,43.2128,-75.4557,51.08,75,100,8.05,Clouds
491,Isla Vista,US,34.4133,-119.861,60.35,91,100,0.0,Mist
492,Korla,CN,41.7597,86.1469,29.75,35,87,5.06,Clouds
493,Mahon,ES,39.8885,4.2658,61.36,100,20,9.22,Clouds
494,Salalah,OM,17.0151,54.0924,81.5,40,7,7.18,Clear
495,Metkovic,HR,43.0542,17.6483,46.87,74,39,2.46,Clouds
496,Shubarkuduk,KZ,49.1447,56.4872,31.15,98,100,11.34,Snow
497,Tazovskiy,RU,67.4667,78.7,-23.82,91,12,8.21,Clouds
498,Nanortalik,GL,60.1432,-45.2371,12.54,81,22,8.37,Clouds
499,Mujiayingzi,CN,42.1167,118.7833,19.36,40,5,0.72,Clear
500,Tsiroanomandidy,MG,-18.7667,46.0333,82.6,59,14,2.55,Rain
501,Kudahuvadhoo,MV,2.6708,72.8944,81.14,72,12,12.66,Clouds
502,Seydisehir,TR,37.4193,31.8453,45.99,43,0,2.39,Clear
503,Sungairaya,ID,0.7,108.9,82.22,65,92,11.74,Clouds
504,Paamiut,GL,61.994,-49.6678,4.06,73,27,7.74,Clouds
505,Sao Felix Do Xingu,BR,-6.6447,-51.995,69.35,99,82,0.98,Clouds
506,Mirandopolis,BR,-21.1336,-51.1017,70.79,93,69,6.24,Clouds
507,Tukrah,LY,32.5341,20.5791,63.5,65,22,8.28,Clouds
508,Montefiascone,IT,42.5393,12.0362,54.27,90,96,1.99,Clouds
